Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1011,527208010,60.0,RL,13543,Pave,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,2Story,8,5.0,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,130.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,16.0,Unf,0.0,1152.0,1168.0,GasA,Ex,Y,SBrkr,1168.0,1332.0,0,2500,0.0,0.0,3,1,4.5,1,Ex,9,Typ,1.0,Gd,BuiltIn,2005,Fin,3.0,683.0,TA,TA,Y,192,32.0,0,0,0,0,0,7,2008,WD,Normal,355000.0
1012,527212050,60.0,RL,11198,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5.0,2005,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,245.0,Gd,TA,PConc,Gd,Gd,No,Unf,0.0,Unf,0.0,1122.0,1122.0,GasA,Ex,Y,SBrkr,1134.0,1370.0,0,2504,0.0,0.0,2,1,4.0,1,Ex,10,Typ,1.0,Gd,BuiltIn,2005,Fin,3.0,656.0,TA,TA,Y,144,39.0,0,0,0,0,0,6,2008,WD,Normal,325000.0
1013,527214030,20.0,RL,15401,Pave,IR1,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5.0,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,296.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1337.0,Unf,0.0,547.0,1884.0,GasA,Ex,Y,SBrkr,1884.0,0.0,0,1884,1.0,0.0,2,0,2.0,1,Ex,7,Typ,1.0,Gd,Attchd,2004,Fin,3.0,670.0,TA,TA,Y,214,76.0,0,0,0,0,0,9,2008,WD,Normal,362437.5
1014,527226020,20.0,RL,18051,Pave,IR1,Bnk,NoSewr,FR2,Gtl,Gilbert,Feedr,Norm,1Fam,1Story,6,3.5,1952,1952,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1632.0,1632.0,GasA,TA,Y,FuseA,1474.0,0.0,0,1474,0.0,0.0,1,0,3.0,1,TA,7,Min2,2.0,Gd,Attchd,1952,Unf,2.0,495.0,TA,TA,Y,0,0.0,0,0,0,0,0,5,2008,WD,Normal,115000.0
1015,527252080,120.0,RL,8118,Pave,Reg,HLS,AllPub,Inside,Gtl,StoneBr,PosN,PosN,TwnhsE,1Story,9,5.0,2007,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,178.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1034.0,Unf,0.0,676.0,1710.0,GasA,Ex,Y,SBrkr,1710.0,0.0,0,1710,1.0,0.0,2,0,2.0,1,Ex,6,Typ,1.0,Gd,Attchd,2007,RFn,2.0,557.0,TA,TA,Y,156,48.0,0,0,0,0,0,7,2008,WD,Normal,334000.0
1016,527276040,20.0,RL,18051,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5.0,1950,1950,Hip,CompShg,AsbShng,AsbShng,BrkFace,44.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1488.0,1488.0,GasA,Gd,Y,SBrkr,1488.0,0.0,0,1488,0.0,0.0,2,1,3.0,1,TA,6,Typ,1.0,TA,Attchd,1950,RFn,2.0,738.0,TA,TA,Y,0,0.0,0,0,0,0,0,7,2008,WD,Family,133000.0
1017,527301170,60.0,RL,18051,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6.0,1986,1991,Gable,CompShg,Plywood,Plywood,BrkFace,123.0,TA,Gd,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,791.0,791.0,GasA,Gd,Y,SBrkr,1236.0,857.0,0,2093,0.0,0.0,2,1,3.0,1,TA,7,Typ,1.0,TA,Attchd,1986,Fin,2.0,542.0,TA,TA,Y,364,63.0,0,0,0,0,0,11,2008,WD,Normal,215000.0
1018,527301245,20.0,RL,12680,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6.0,1988,1988,Gable,CompShg,Plywood,Wd Sdng,BrkFace,102.0,Gd,TA,CBlock,Gd,Gd,Mn,GLQ,983.0,Unf,0.0,692.0,1675.0,GasA,Ex,Y,SBrkr,1688.0,0.0,0,1688,1.0,0.0,2,0,2.0,1,Ex,6,Typ,1.0,Ex,Attchd,1988,RFn,2.0,528.0,TA,TA,Y,0,48.0,0,0,0,0,0,6,2008,WD,Normal,226500.0
1019,527302050,20.0,RL,12090,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6.0,1981,1981,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,TA,Gd,CBlock,Gd,TA,No,GLQ,588.0,LwQ,0.0,606.0,1422.0,GasA,TA,Y,SBrkr,1422.0,0.0,0,1422,0.0,0.0,2,0,3.0,1,Gd,7,Typ,1.0,TA,Attchd,1981,Fin,2.0,576.0,TA,TA,Y,276,0.0,0,0,0,0,0,6,2008,WD,Normal,175500.0
1020,527302070,20.0,RL,10825,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7.0,1983,1983,Gable,CompShg,WdShing,Plywood,BrkFace,174.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,747.0,Unf,0.0,513.0,1260.0,GasA,TA,Y,SBrkr,1260.0,0.0,0,1260,1.0,0.0,2,0,3.0,1,TA,6,Typ,0.0,Has No Fireplace,Attchd,1983,Unf,2.0,598.0,TA,TA,Y,152,0.0,0,0,0,0,0,7,2008,WD,Normal,181900.0
1021,527302185,20.0,RL,18051,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5.0,1978,1978,Hip,CompShg,Plywood,Plywood,BrkFace,383.0,Gd,Gd,CBlock,Gd,TA,No,GLQ,1206.0,Rec,0.0,656.0,2048.0,GasA,TA,Y,SBrkr,2064.0,0.0,0,2064,1.0,0.0,2,0,3.0,1,Gd,7,Typ,2.0,Fa,Attchd,1978,Fin,2.0,550.0,TA,TA,Y,200,0.0,0,0,0,0,0,8,2008,WD,Normal,235000.0
1022,527302210,20.0,RL,14450,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5.0,1979,1979,Hip,CompShg,Plywood,Plywood,BrkFace,194.0,Gd,TA,CBlock,Gd,Fa,No,ALQ,864.0,LwQ,0.0,469.0,1782.0,GasA,TA,Y,SBrkr,1782.0,0.0,0,1782,0.0,0.0,2,0,3.0,1,Gd,6,Typ,1.0,TA,Attchd,1979,Fin,2.0,551.0,TA,TA,Y,420,0.0,0,0,0,0,0,3,2008,WD,Normal,220000.0
1023,527325070,60.0,RL,12227,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,6,7.0,1977,1995,Gable,CompShg,HdBoard,HdBoard,BrkFace,424.0,TA,Gd,CBlock,Gd,Gd,No,ALQ,896.0,Unf,0.0,434.0,1330.0,GasA,TA,Y,SBrkr,1542.0,1330.0,0,2692,1.0,0.0,2,1,4.0,1,TA,10,Typ,1.0,TA,Attchd,1977,Fin,2.0,619.0,TA,TA,Y,420,187.5,0,0,0,0,0,7,2008,WD,Normal,272000.0
1024,527325240,20.0,RL,13068,Pave,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5.0,1976,1976,Hip,CompShg,HdBoard,HdBoard,BrkFace,491.25,TA,TA,PConc,Gd,TA,No,ALQ,890.0,Rec,0.0,273.0,1211.0,GasA,TA,Y,SBrkr,1211.0,0.0,0,1211,1.0,0.0,2,0,3.0,1,Gd,6,Typ,1.0,Po,Attchd,1976,Fin,2.0,461.0,TA,TA,Y,0,0.0,0,0,0,0,0,11,2008,WD,Normal,161000.0
1025,527326130,20.0,RL,15611,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6.0,1977,1977,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,ALQ,767.0,LwQ,0.0,266.0,1126.0,GasA,TA,Y,SBrkr,1126.0,0.0,0,1126,0.0,0.0,2,0,3.0,1,Ex,6,Typ,0.0,Has No Fireplace,Attchd,1977,RFn,2.0,540.0,TA,TA,Y,180,0.0,0,0,0,0,0,3,2008,WD,Abnorml,175000.0
1026,527354160,60.0,RL,10400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6.0,1980,1988,Gable,CompShg,HdBoard,HdBoard,BrkFace,280.0,TA,TA,CBlock,Gd,TA,Mn,Unf,0.0,Unf,0.0,738.0,738.0,GasA,TA,Y,SBrkr,1277.0,767.0,0,2044,0.0,0.0,2,1,3.0,1,TA,7,Min1,1.0,TA,Attchd,1980,Unf,2.0,489.0,TA,TA,Y,28,73.0,0,0,0,0,0,3,2008,WD,Normal,185000.0
1027,527357110,60.0,RL,9743,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,5,6.0,1969,1969,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,No,BLQ,280.0,Unf,0.0,440.0,720.0,GasA,Gd,Y,SBrkr,720.0,588.0,0,1308,0.0,0.0,1,1,3.0,1,TA,7,Typ,0.0,Has No Fireplace,Detchd,1969,Unf,2.0,484.0,TA,TA,Y,0,0.0,0,0,0,0,0,6,2008,WD,Normal,146900.0
1028,527357180,60.0,RL,12511,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7.0,1978,1978,Mansard,WdShake,Plywood,Plywood,BrkFace,168.0,Gd,TA,PConc,Gd,TA,No,ALQ,988.0,Unf,0.0,432.0,1420.0,GasA,Ex,Y,SBrkr,1420.0,1420.0,0,2692,0.0,0.0,2,1,4.0,1,Gd,8,Min2,2.0,Gd,Attchd,1978,Fin,3.5,915.75,TA,Gd,Y,0,16.0,0,0,0,0,0,12,2008,WD,Normal,292500.0
1029,527358120,20.0,RL,11361,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5.0,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,160.0,TA,TA,CBlock,Gd,TA,No,ALQ,644.0,Unf,0.0,549.0,1193.0,GasA,TA,Y,SBrkr,1523.0,0.0,0,1523,0.0,0.0,2,0,3.0,1,TA,7,Typ,1.0,TA,Attchd,1976,Fin,2.0,478.0,TA,TA,Y,0,0.0,0,0,0,0,0,5,2008,COD,Abnorml,180000.0
1030,527359030,20.0,RL,10400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5.0,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1444.0,1444.0,GasA,TA,Y,SBrkr,1444.0,0.0,0,1444,0.0,0.0,2,0,2.0,1,TA,5,Typ,1.0,Gd,Attchd,1976,Unf,2.0,473.0,TA,TA,Y,0,24.0,0,0,0,0,0,4,2008,WD,Normal,159900.0
1031,527359070,60.0,RL,10480,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6.0,1976,1976,Hip,CompShg,Plywood,Plywood,BrkFace,491.25,TA,TA,CBlock,TA,TA,No,ALQ,403.0,Unf,0.0,400.0,803.0,GasA,TA,Y,SBrkr,1098.0,866.0,0,1964,0.0,0.0,2,1,4.0,1,TA,8,Typ,1.0,Gd,Attchd,1976,RFn,2.0,483.0,TA,TA,Y,0,69.0,0,0,0,0,0,9,2008,WD,Normal,205000.0
1032,527378020,20.0,RL,10000,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6.0,1973,2000,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,1084.0,Unf,0.0,92.0,1176.0,GasA,Gd,Y,SBrkr,1178.0,0.0,0,1178,0.0,0.0,1,1,3.0,1,Gd,5,Typ,1.0,Fa,Attchd,1973,Unf,2.0,439.0,TA,TA,Y,224,0.0,0,0,0,0,0,11,2008,WD,Normal,157000.0
1033,527380240,60.0,RL,14311,Pave,IR1,Lvl,AllPub,FR3,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,5.0,1996,1996,Gable,CompShg,VinylSd,VinylSd,BrkFace,402.0,Gd,TA,PConc,Gd,TA,No,GLQ,1023.0,Unf,0.0,213.0,1236.0,GasA,Ex,Y,SBrkr,1236.0,1104.0,0,2340,1.0,0.0,2,1,4.0,1,Gd,9,Typ,1.0,Gd,Attchd,1996,RFn,3.0,787.0,TA,TA,Y,192,180.0,0,0,0,0,0,6,2008,WD,Normal,306000.0
1034,527401130,90.0,RL,9000,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,Duplex,2Story,5,5.0,1974,1974,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Mn,Unf,0.0,Unf,0.0,896.0,896.0,GasA,TA,Y,SBrkr,896.0,896.0,0,1792,0.0,0.0,2,2,4.0,1,TA,8,Typ,0.0,Has No Fireplace,Detchd,1982,Unf,2.0,480.0,TA,TA,Y,0,45.0,0,0,0,0,0,6,2008,WD,Normal,133000.0
1035,527402060,20.0,RL,9750,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7.5,1969,1969,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,602.0,LwQ,0.0,14.0,1054.0,GasA,Gd,Y,SBrkr,1054.0,0.0,0,1054,1.0,0.0,1,1,3.0,1,TA,6,Typ,0.0,Has No Fireplace,Attchd,1969,Unf,2.0,460.0,TA,TA,Y,180,0.0,0,0,0,0,0,7,2008,WD,Normal,151000.0
1036,527402130,20.0,RL,10295,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6.0,1969,1969,Gable,CompShg,HdBoard,HdBoard,BrkFace,72.0,TA,TA,CBlock,Gd,TA,Mn,Rec,252.0,Unf,0.0,684.0,936.0,GasA,TA,Y,SBrkr,936.0,0.0,0,936,0.0,0.0,1,0,2.0,1,TA,4,Typ,0.0,Has No Fireplace,Attchd,1969,Unf,1.0,288.0,TA,TA,Y,16,0.0,0,0,0,0,0,9,2008,COD,Normal,111900.0
1037,527403360,20.0,RL,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5.0,1971,1971,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,No,Rec,119.0,ALQ,0.0,132.0,864.0,GasA,TA,Y,SBrkr,864.0,0.0,0,864,1.0,0.0,1,0,3.0,1,TA,5,Typ,0.0,Has No Fireplace,Detchd,1977,Unf,2.0,576.0,TA,TA,Y,0,0.0,0,0,0,0,0,5,2008,WD,Normal,123000.0
1038,527425035,20.0,RL,12735,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5.0,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,600.0,Unf,0.0,264.0,864.0,GasA,TA,Y,SBrkr,864.0,0.0,0,864,0.0,0.0,1,0,3.0,1,TA,5,Typ,0.0,Has No Fireplace,Detchd,1980,Unf,2.0,576.0,TA,TA,Y,216,0.0,0,0,0,0,0,4,2008,COD,Normal,111250.0
1039,527427110,120.0,RH,4060,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,6,5.0,1998,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,266.0,Unf,0.0,1139.0,1405.0,GasA,Ex,Y,SBrkr,1337.0,0.0,0,1337,1.0,0.0,2,0,2.0,1,Gd,5,Typ,0.0,Has No Fireplace,Attchd,1998,Fin,2.0,511.0,TA,TA,Y,144,68.0,0,0,0,0,0,8,2008,COD,Abnorml,181000.0
1040,527450110,157.5,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5.0,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,359.0,TA,TA,CBlock,TA,TA,No,LwQ,458.0,Unf,0.0,25.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0,987,0.0,0.0,1,1,2.0,1,TA,5,Typ,0.0,Has No Fireplace,Detchd,1973,Unf,1.0,264.0,TA,TA,Y,52,0.0,0,0,0,0,0,2,2008,WD,Normal,103400.0
1041,527450250,157.5,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5.0,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,158.0,TA,TA,CBlock,TA,TA,No,BLQ,330.0,Unf,0.0,153.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0,987,1.0,0.0,1,1,2.0,1,TA,5,Typ,0.0,Has No Fireplace,Detchd,1973,Unf,1.0,264.0,TA,TA,Y,0,0.0,0,0,0,0,0,11,2008,WD,Normal,100000.0
1042,527450520,157.5,RM,1890,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6.0,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,422.0,TA,TA,CBlock,TA,TA,No,LwQ,483.0,Unf,0.0,0.0,483.0,GasA,Gd,Y,SBrkr,483.0,504.0,0,987,0.0,0.0,1,1,2.0,1,TA,5,Typ,0.0,Has No Fireplace,Detchd,1975,Unf,1.0,352.0,TA,TA,Y,411,0.0,0,0,0,0,0,4,2008,WD,Normal,100500.0
1043,527451060,157.5,RM,1869,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6.0,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,TA,TA,CBlock,TA,TA,No,Rec,321.0,Unf,0.0,162.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0,987,0.0,0.0,1,1,2.0,1,TA,5,Typ,0.0,Has No Fireplace,Detchd,1987,Unf,1.0,280.0,TA,TA,Y,0,0.0,0,0,0,0,0,9,2008,WD,Normal,106000.0
1044,527451290,157.5,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5.0,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0,987,0.0,0.0,1,1,2.0,1,TA,4,Typ,0.0,Has No Fireplace,Detchd,1971,Unf,1.0,264.0,TA,TA,Y,0,0.0,0,0,0,0,0,7,2008,COD,Abnorml,85400.0
1045,527451400,157.5,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3.5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,491.25,TA,TA,CBlock,TA,TA,No,ALQ,358.0,Unf,0.0,125.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0,987,0.0,0.0,1,1,2.0,1,TA,5,Typ,0.0,Has No Fireplace,Detchd,1971,Unf,1.0,264.0,TA,TA,Y,0,0.0,0,0,0,0,0,8,2008,WD,Normal,89500.0
